# IBL IS TURB X S THETA DSTAR HK UE CF RT AMPL
  59 1 T  0.827693E+00  0.410869E-01  0.109828E-02  0.155586E-02  0.141663E+01  0.101995E+01  0.401346E-02  0.112019E+04  0.919515E+01
  60 1 T  0.842971E+00  0.407474E-01  0.114959E-02  0.163422E-02  0.142157E+01  0.101440E+01  0.393107E-02  0.116614E+04  0.919515E+01
  61 1 T  0.857749E+00  0.405105E-01  0.120098E-02  0.171355E-02  0.142679E+01  0.100871E+01  0.385123E-02  0.121144E+04  0.919515E+01
  62 1 T  0.872004E+00  0.403554E-01  0.125267E-02  0.179412E-02  0.143224E+01  0.100285E+01  0.377383E-02  0.125624E+04  0.919515E+01
  63 1 T  0.885713E+00  0.402679E-01  0.130490E-02  0.187637E-02  0.143794E+01  0.996787E+00  0.369826E-02  0.130071E+04  0.919515E+01
  64 1 T  0.898855E+00  0.402376E-01  0.135794E-02  0.196080E-02  0.144395E+01  0.990501E+00  0.362381E-02  0.134504E+04  0.919515E+01
  65 1 T  0.911409E+00  0.402562E-01  0.141193E-02  0.204775E-02  0.145033E+01  0.983992E+00  0.355001E-02  0.138933E+04  0.919515E+01
  66 1 T  0.923356E+00  0.403215E-01  0.146751E-02  0.213861E-02  0.145731E+01  0.977168E+00  0.347502E-02  0.143400E+04  0.919515E+01
  67 1 T  0.934676E+00  0.404291E-01  0.152485E-02  0.223386E-02  0.146497E+01  0.970044E+00  0.339843E-02  0.147917E+04  0.919515E+01
  68 1 T  0.945353E+00  0.405780E-01  0.158445E-02  0.233472E-02  0.147352E+01  0.962577E+00  0.331900E-02  0.152516E+04  0.919515E+01
  69 1 T  0.955368E+00  0.407704E-01  0.164717E-02  0.244324E-02  0.148330E+01  0.954679E+00  0.323475E-02  0.157251E+04  0.919515E+01
  70 1 T  0.964707E+00  0.410076E-01  0.171364E-02  0.256122E-02  0.149461E+01  0.946315E+00  0.314438E-02  0.162165E+04  0.919515E+01
  71 1 T  0.973355E+00  0.412937E-01  0.178498E-02  0.269157E-02  0.150790E+01  0.937402E+00  0.304573E-02  0.167324E+04  0.919515E+01
  72 1 T  0.981297E+00  0.416334E-01  0.186239E-02  0.283782E-02  0.152375E+01  0.927869E+00  0.293667E-02  0.172805E+04  0.919515E+01
  73 1 T  0.988522E+00  0.420361E-01  0.194797E-02  0.300589E-02  0.154309E+01  0.917561E+00  0.281347E-02  0.178738E+04  0.919515E+01
  74 1 T  0.995018E+00  0.425129E-01  0.204434E-02  0.320386E-02  0.156718E+01  0.906319E+00  0.267192E-02  0.185283E+04  0.919515E+01
  75 1 T  0.100077E+01  0.430817E-01  0.215574E-02  0.344525E-02  0.159817E+01  0.893881E+00  0.250538E-02  0.192697E+04  0.919515E+01
  76 1 T  0.100578E+01  0.437623E-01  0.228761E-02  0.374983E-02  0.163919E+01  0.879994E+00  0.230617E-02  0.201308E+04  0.919515E+01
  77 1 T  0.101003E+01  0.445975E-01  0.245129E-02  0.416007E-02  0.169709E+01  0.864032E+00  0.205788E-02  0.211799E+04  0.919515E+01
  78 1 T  0.101352E+01  0.456465E-01  0.266522E-02  0.475926E-02  0.178569E+01  0.845215E+00  0.173617E-02  0.225268E+04  0.919515E+01
  79 1 T  0.101624E+01  0.470326E-01  0.297155E-02  0.578323E-02  0.194620E+01  0.821915E+00  0.128571E-02  0.244236E+04  0.919515E+01
  80 1 T  0.101818E+01  0.490262E-01  0.348997E-02  0.851603E-02  0.244015E+01  0.791041E+00  0.516469E-03  0.276071E+04  0.919515E+01
  81 1 T  0.101935E+01  0.492974E-01  0.353417E-02  0.883542E-02  0.250000E+01  0.788830E+00  0.460512E-03  0.278786E+04  0.919515E+01
  82 1 T  0.101974E+01  0.493524E-01  0.353731E-02  0.884327E-02  0.250000E+01  0.788680E+00  0.460405E-03  0.278981E+04  0.919515E+01
   2 2 F  0.348976E-02  0.300000E-01  0.322040E-04  0.717991E-04  0.222951E+01  0.285406E+00  0.780611E-01  0.919122E+01  0.000000E+00
   3 2 F  0.708870E-02  0.300000E-01  0.356224E-04  0.805273E-04  0.226058E+01  0.534249E+00  0.361486E-01  0.190313E+02  0.218734E-09
   4 2 F  0.109487E-01  0.300000E-01  0.406674E-04  0.924232E-04  0.227266E+01  0.727067E+00  0.228874E-01  0.295679E+02  0.427307E-09
   5 2 F  0.151912E-01  0.300000E-01  0.474904E-04  0.110010E-03  0.231647E+01  0.866029E+00  0.154947E-01  0.411281E+02  0.625690E-09
   6 2 F  0.199059E-01  0.300000E-01  0.554951E-04  0.129673E-03  0.233665E+01  0.962815E+00  0.115982E-01  0.534315E+02  0.814411E-09
   7 2 F  0.251553E-01  0.300000E-01  0.645449E-04  0.153082E-03  0.237171E+01  0.102993E+01  0.887664E-02  0.664769E+02  0.994681E-09
   8 2 F  0.309816E-01  0.300000E-01  0.742632E-04  0.177812E-03  0.239434E+01  0.107668E+01  0.714828E-02  0.799579E+02  0.116771E-08
   9 2 F  0.374122E-01  0.300000E-01  0.845557E-04  0.204554E-03  0.241916E+01  0.110969E+01  0.588033E-02  0.938309E+02  0.133462E-08
  10 2 F  0.444643E-01  0.300000E-01  0.952324E-04  0.232287E-03  0.243916E+01  0.113332E+01  0.496791E-02  0.107929E+03  0.149632E-08
  11 2 F  0.521471E-01  0.300000E-01  0.106235E-03  0.261115E-03  0.245791E+01  0.115039E+01  0.427033E-02  0.122211E+03  0.165352E-08
  12 2 F  0.604645E-01  0.300000E-01  0.117463E-03  0.290603E-03  0.247400E+01  0.116284E+01  0.373263E-02  0.136591E+03  0.180679E-08
  13 2 F  0.694158E-01  0.300000E-01  0.128896E-03  0.320835E-03  0.248909E+01  0.117190E+01  0.330176E-02  0.151053E+03  0.195657E-08
  14 2 F  0.789972E-01  0.300000E-01  0.140473E-03  0.351515E-03  0.250236E+01  0.117847E+01  0.295469E-02  0.165544E+03  0.210320E-08
  15 2 F  0.892019E-01  0.300000E-01  0.152196E-03  0.382789E-03  0.251511E+01  0.118312E+01  0.266580E-02  0.180066E+03  0.224694E-08
  16 2 F  0.100021E+00  0.300000E-01  0.164055E-03  0.414642E-03  0.252745E+01  0.118625E+01  0.242190E-02  0.194610E+03  0.238796E-08
  17 2 F  0.111443E+00  0.300000E-01  0.176012E-03  0.446859E-03  0.253880E+01  0.118821E+01  0.221593E-02  0.209139E+03  0.252642E-08
  18 2 F  0.123456E+00  0.300000E-01  0.188094E-03  0.479708E-03  0.255036E+01  0.118918E+01  0.203639E-02  0.223679E+03  0.266243E-08
  19 2 F  0.136046E+00  0.300000E-01  0.200300E-03  0.513180E-03  0.256206E+01  0.118933E+01  0.187876E-02  0.238222E+03  0.279605E-08
  20 2 F  0.149196E+00  0.300000E-01  0.212620E-03  0.547234E-03  0.257377E+01  0.118878E+01  0.173969E-02  0.252758E+03  0.292734E-08
  21 2 F  0.162891E+00  0.300000E-01  0.225056E-03  0.581919E-03  0.258567E+01  0.118765E+01  0.161571E-02  0.267287E+03  0.119652E-01
  22 2 F  0.177112E+00  0.300000E-01  0.237636E-03  0.617477E-03  0.259841E+01  0.118597E+01  0.150285E-02  0.281830E+03  0.860479E-01
  23 2 F  0.191840E+00  0.300000E-01  0.250351E-03  0.653830E-03  0.261165E+01  0.118383E+01  0.140040E-02  0.296373E+03  0.214437E+00
  24 2 F  0.207056E+00  0.300000E-01  0.263196E-03  0.690975E-03  0.262533E+01  0.118128E+01  0.130707E-02  0.310909E+03  0.367091E+00
  25 2 F  0.222738E+00  0.300000E-01  0.276184E-03  0.729075E-03  0.263982E+01  0.117837E+01  0.122092E-02  0.325448E+03  0.527081E+00
  26 2 F  0.238863E+00  0.300000E-01  0.289322E-03  0.768218E-03  0.265523E+01  0.117513E+01  0.114088E-02  0.339991E+03  0.695170E+00
  27 2 F  0.255410E+00  0.300000E-01  0.302613E-03  0.808472E-03  0.267164E+01  0.117159E+01  0.106618E-02  0.354538E+03  0.872192E+00
  28 2 F  0.272355E+00  0.300000E-01  0.316043E-03  0.849785E-03  0.268883E+01  0.116779E+01  0.996638E-03  0.369073E+03  0.105892E+01
  29 2 F  0.289673E+00  0.300000E-01  0.329628E-03  0.892391E-03  0.270727E+01  0.116376E+01  0.930998E-03  0.383609E+03  0.125623E+01
  30 2 F  0.307339E+00  0.300000E-01  0.343338E-03  0.936096E-03  0.272645E+01  0.115955E+01  0.869697E-03  0.398116E+03  0.146492E+01
  31 2 F  0.325327E+00  0.300000E-01  0.357221E-03  0.981481E-03  0.274754E+01  0.115513E+01  0.810707E-03  0.412637E+03  0.168608E+01
  32 2 F  0.343611E+00  0.300000E-01  0.371216E-03  0.102806E-02  0.276943E+01  0.115058E+01  0.755445E-03  0.427114E+03  0.192074E+01
  33 2 F  0.362163E+00  0.300000E-01  0.385343E-03  0.107620E-02  0.279283E+01  0.114590E+01  0.702709E-03  0.441565E+03  0.216973E+01
  34 2 F  0.380956E+00  0.300000E-01  0.399604E-03  0.112612E-02  0.281810E+01  0.114111E+01  0.651978E-03  0.455993E+03  0.243423E+01
  35 2 F  0.399962E+00  0.300000E-01  0.413982E-03  0.117783E-02  0.284514E+01  0.113624E+01  0.603327E-03  0.470381E+03  0.271548E+01
